ast_k1,sdc,sc_k2
ifai,722106,0
ifai,520944,80
ifai,133826,80
ifai,734739,40
ifai,631199,60
ifai,935063,0
ifai,911815,0
ifai,904274,60
ifai,624831,0
ifai,471871,0
ifai,109220,0
ifai,171477,0
ifai,136541,0
ifai,605009,100
ifai,837888,60
ifai,117939,0
ifai,464214,0
ifai,331329,0
ifai,507497,100
ifai,227667,40
ifai,769815,80
ifai,230494,60
ifai,488081,100
ifai,214934,80
ifai,539865,0
ifai,377532,100
ifai,529445,0
ifai,586981,0
ifai,159842,0
ifai,854333,100
ifai,655715,80
ifai,123875,80
ifai,373901,20
ifai,480843,60
ifai,599697,0
ifai,868366,0
ifai,374400,100
lett,758592,60
lett,596235,0
lett,975179,0
lett,739244,0
lett,408620,100
lett,524203,100
lett,767173,60
lett,329294,60
lett,855762,0
lett,782903,40
lett,685939,100
lett,829577,40
lett,734042,80
lett,670452,0
lett,252398,40
lett,120912,0
lett,653801,80
lett,601465,0
lett,813434,0
lett,427093,0
lett,629220,0
lett,300556,80
lett,302588,0
lett,599647,0
lett,591716,0
lett,962740,80
lett,437672,0
lett,251974,100
lett,262192,80
lett,844462,0
lett,473266,0
lett,152692,60
lett,451220,40
lett,274293,20
lett,573322,100
lett,217056,100
lett,637153,0
lett,551028,40
lett,171109,100
lett,553009,0
lett,104891,0
lett,424276,80
lett,284514,80
lett,104618,100
lett,326959,0
lett,772634,80
lett,479675,80
lett,519678,0
lett,327137,0
lett,620063,0
lett,273825,60
lett,374526,60
lett,781936,100
lett,805101,60
lett,722106,0
lett,520944,80
lett,133826,100
lett,734739,100
lett,631199,80
lett,935063,0
lett,911815,0
lett,904274,0
lett,624831,0
lett,471871,0
lett,109220,0
lett,171477,80
lett,136541,0
lett,605009,100
lett,837888,40
lett,117939,0
lett,464214,0
lett,331329,0
lett,507497,100
lett,227667,0
lett,769815,100
lett,230494,40
lett,488081,80
lett,214934,60
lett,539865,0
lett,377532,80
lett,529445,0
lett,586981,0
lett,159842,0
lett,854333,100
lett,655715,80
lett,123875,60
lett,373901,0
lett,480843,0
lett,599697,0
lett,868366,0
lett,374400,100
